mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
14.7,0.898,0.994,0.114,0.239,0.1,1.447,0.084,0.0
14.4,0.895,0.981,0.124,0.238,0.11,1.455,0.086,0.0
13.867,0.921,1.429,0.105,0.214,0.104,1.851,0.085,0.0
13.133,0.888,0.794,0.113,0.265,0.122,1.293,0.084,0.0
13.0,0.906,1.266,0.104,0.229,0.12,1.719,0.084,0.0
12.2,0.906,0.784,0.1,0.228,0.107,1.219,0.084,0.0
12.7,0.892,1.065,0.13,0.246,0.13,1.571,0.085,0.0
13.267,0.906,0.653,0.089,0.21,0.114,1.065,0.087,0.0
13.3,0.897,0.761,0.072,0.226,0.133,1.192,0.086,0.0
14.0,0.885,0.84,0.077,0.244,0.104,1.266,0.085,0.0
13.3,0.892,1.103,0.099,0.243,0.113,1.557,0.085,0.0
13.2,0.902,0.937,0.119,0.22,0.13,1.406,0.085,0.0
13.6,0.903,1.414,0.089,0.232,0.114,1.849,0.083,0.0
13.2,0.889,0.358,0.086,0.235,0.112,0.792,0.085,0.0
11.833,0.903,0.803,0.122,0.208,0.116,1.25,0.087,0.0
13.333,0.889,1.752,0.111,0.246,0.113,2.222,0.087,0.0
12.2,0.915,0.715,0.106,0.22,0.112,1.153,0.086,0.0
12.7,0.901,1.306,0.11,0.221,0.119,1.756,0.085,0.0
13.167,0.884,0.568,0.089,0.243,0.128,1.027,0.085,0.0
13.167,0.907,0.233,0.11,0.196,0.103,0.641,0.085,0.0
13.4,0.914,0.738,0.136,0.216,0.106,1.196,0.095,0.0
14.2,0.917,1.447,0.098,0.2,0.087,1.832,0.087,0.0
13.5,0.907,1.077,0.054,0.208,0.129,1.469,0.084,0.0
13.067,0.919,0.8,0.134,0.205,0.107,1.246,0.085,0.0
12.2,0.885,0.033,0.129,0.258,0.159,0.578,0.085,0.0
